rule,type,coef,support,importance
core_BzMA> 0.5,rule,-2.4299990283658888,0.5413223140495868,1.2108430997228923
core_BzMA<= 0.5 & corona_mv_total<= 107.5754508972168 & clogp_core<= 1.4000000357627869 & temp> 47.0 & mon_core_psa> 37.18000030517578,rule,-0.9449054047576171,0.4256198347107438,0.46719585348160203
core_BzMA<= 0.5,rule,0.6730502174887681,0.43388429752066116,0.3335700392551922
core_mw_total> 8379.31982421875 & salt<= 0.20000000670552254 & mon_core_psa<= 46.567935943603516 & clogp_corona<= 0.7300000041723251,rule,-0.9432166507530471,0.8884297520661157,0.2969594874026313
salt<= 0.20000000670552254 & conc> 7.5 & mon_corona_mv> 0.7838499844074249,rule,-0.8424890009910553,0.871900826446281,0.2815599946564955
mon_corona_psa> 47.970001220703125 & mon_core_psa<= 46.567935943603516,rule,-0.542932700477869,0.71900826446281,0.24403926832515416
conc> 18.75 & core_BzMA<= 0.5 & core_mv_total<= 278.4750061035156 & core_mw_total> 8406.06982421875 & clogp_corona> 0.125 & salt<= 0.20000000670552254,rule,2.1312114883993334,0.012396694214876033,0.23581463819895446
conc> 6.25 & corona_mv_total<= 107.5754508972168 & core_mw_total> 8379.31982421875 & clogp_corona<= 0.7300000041723251,rule,-0.628166801054386,0.8388429752066116,0.23096168348508078
mon_corona_mv<= 0.7838499844074249 & conc> 18.75 & core_BzMA<= 0.5 & ratio_mass> 0.12851683795452118,rule,1.9634128382194729,0.012396694214876033,0.21724802564181417
salt<= 0.20000000670552254 & mon_core_psa<= 46.58311080932617 & clogp_corona<= 0.7300000041723251,rule,-0.60403049107276,0.9297520661157025,0.15436868899504305
mon_corona_mv<= 0.7838499844074249 & conc> 18.75 & core_BzMA<= 0.5 & ratio_vol> 0.12177855148911476,rule,0.8975194314476533,0.01652892561983471,0.11443186289842984
salt<= 0.20000000670552254 & mon_core_psa<= 46.567935943603516 & clogp_corona<= 0.7300000041723251,rule,-0.44317297844886006,0.9338842975206612,0.11012149970095839
clogp_core<= 1.110099971294403,rule,-0.21374978960429916,0.756198347107438,0.0917786955180307
salt<= 0.20000000670552254 & dp_corona<= 112.5 & mon_core_psa<= 46.567935943603516 & clogp_corona<= 0.7300000041723251,rule,-0.23310932036517198,0.8512396694214877,0.08295243382840738
salt<= 0.20000000670552254 & mon_core_psa<= 46.58311080932617 & clogp_corona<= 0.6400000005960464,rule,-0.30196379375648846,0.9297520661157025,0.07717119525435301
mon_core_psa<= 46.575523376464844 & corona_mv_total> 38.33705139160156 & salt<= 0.15000000596046448,rule,-0.20197912815425445,0.8388429752066116,0.07426282221386708
salt<= 0.20000000670552254 & mon_corona_mv> 0.7838499844074249 & mon_core_psa<= 46.58311080932617,rule,-0.15678413637808258,0.8264462809917356,0.05937811344800355
core_BzMA<= 0.5 & corona_mw_total> 14338.47998046875,rule,0.48925671270946325,0.012396694214876033,0.05413535696574371
corona_mv_total> 107.5754508972168 & core_BzMA<= 0.5 & clogp_corona<= 0.7300000041723251,rule,0.533536214842312,0.008264462809917356,0.04830244960579452
mon_core_psa<= 46.575523376464844 & dp_corona<= 112.5 & salt<= 0.20000000670552254 & clogp_corona<= 0.7300000041723251,rule,-0.10318985776795149,0.8801652892561983,0.0335127794587114
clogp_core> 1.1115124821662903 & clogp_corona<= -1.0450000166893005,rule,0.13405310265555964,0.024793388429752067,0.020844579134549547
core_BzMA<= 0.5 & corona_mv_total> 38.33705139160156 & corona_mv_total> 117.32430267333984,rule,0.17555397745541512,0.012396694214876033,0.019424725281078806
corona_mw_total> 14758.5302734375 & core_BzMA<= 0.5,rule,0.07381150770702816,0.02066115702479339,0.01049948229875971
